分辨面料正反面的简单手段,8
夏季服装的几种常见面料保养,8
机织大、小提花面料的鉴别,8
机织物小提花设计技巧,8
广交会使用频率最高的英语例句,8
面料成份及特点知识大全,8
面料成分的英文缩写,8
面料的特性,8
面料色彩心理的个性因素,8
服装辅料,8
尼丝纺,9
平布,9
毛皮,9
法兰绒,9
氨纶,9
天鹅绒面料,9
锦纶,9
雪纺,9
港型针织呢绒,9
丝绸,9
钻石绒面料的优缺点,10
怎样用燃烧法鉴别合成纤维,10
怎样识别绒线的标号,10
通过感观特点区别各种纤维,10
通过手感法鉴别真丝和人造丝,10
皮革的鉴定,10
识别羊绒、羊驼毛、马海毛,10
毛纺原料,10
纯毛面料,10
面料成分的鉴别,10
广交会使用频率最高的英语例句,11
起绒,11
抽条,11
碱缩,11
丝光,11
克重,11
幅宽,11
密度,11
纬纱密度,11
经纱密度,11
欧根纱洗涤保养,12
磨毛面料注意事项,12
夏季服装的几种常见面料保养,12
维纶织物的洗涤及保养,12
锦纶织物的洗涤及保养,12
腈纶织物的洗涤及保养,12
涤纶织物的洗涤及保养,12
粘胶纤维织物的洗涤及保养,12
丝的洗涤及保养,12
毛的洗涤及保养,12
防紫外线面料,13
速干面料,13
热感保暖面料,13
吸湿排汗面料,13
ptfe复合面料,13
抗菌面料,13
防水面料,13
凉感面料,13
阻燃面料,13
